,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 0 - Inner 0,188,8,4,0.9552986694535434,11,True,0.7415051598288447,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 0 - Inner 1,188,7,4,0.697861565597321,16,True,0.758117291719104,0.0,0.0,1.0,0.8253012048192772
Outer 0 - Inner 2,143,10,2,0.8020209284786297,13,True,0.6878932796375535,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 0 - Inner 3,107,2,4,0.8187366013638192,21,True,0.7057639063679839,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 0 - Inner 4,149,8,1,0.9972161531913102,5,True,0.6904102693178958,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 0 - Inner 5,175,3,3,0.7932243581953982,20,True,0.6977095393908885,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 1 - Inner 0,142,7,1,0.8929624690466136,14,True,0.873647118046816,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 1 - Inner 1,188,7,3,0.8955050557433648,25,True,0.8517493078278379,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 1 - Inner 2,56,9,2,0.8084081192328592,11,True,0.8250692172162094,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 1 - Inner 3,57,2,4,0.714834266846247,13,True,0.8358922728416812,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 1 - Inner 4,82,7,2,0.8085167265238353,13,True,0.836647369745784,0.24242424242424243,0.13793103448275862,1.0,0.8493975903614458
Outer 1 - Inner 5,94,3,2,0.7467786141741466,11,True,0.8718852252705763,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 2 - Inner 0,104,2,3,0.942923055075219,24,True,0.7671784545683363,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 2 - Inner 1,71,4,4,0.7966830422720694,25,True,0.7855524792348351,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 2 - Inner 2,166,5,2,0.5332104653144385,30,True,0.7876919204631262,0.0,0.0,1.0,0.8253012048192772
Outer 2 - Inner 3,182,9,4,0.7252062576017055,24,True,0.7769947143216713,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 2 - Inner 4,54,8,2,0.8440680242614809,13,True,0.7850490812987667,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 2 - Inner 5,187,6,3,0.9680685894364613,7,True,0.7853007802668008,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 3 - Inner 0,101,6,2,0.8793408449226265,13,True,0.8336269821293734,0.0,0.0,1.0,0.8253012048192772
Outer 3 - Inner 1,153,6,1,0.9449979900091163,19,True,0.7795117040020136,0.29411764705882354,0.1724137931034483,1.0,0.8554216867469879
Outer 3 - Inner 2,61,8,2,0.8112721250719485,29,True,0.7742260256732948,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 3 - Inner 3,84,2,3,0.6084734148637654,18,True,0.8192801409514221,0.0,0.0,1.0,0.8253012048192772
Outer 3 - Inner 4,188,3,4,0.8654015697992707,19,True,0.7729675308331236,0.0,0.0,1.0,0.8253012048192772
Outer 3 - Inner 5,140,7,2,0.8687962499463445,19,True,0.7936068462119306,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 4 - Inner 0,110,4,1,0.6940295569863846,6,True,0.7042537125597785,0.0,0.0,1.0,0.8253012048192772
Outer 4 - Inner 1,189,2,3,0.643718315888924,15,True,0.7027435187515731,0.0,0.0,1.0,0.8253012048192772
Outer 4 - Inner 2,61,6,2,0.8952819744653264,5,True,0.7024918197835389,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 4 - Inner 3,128,7,4,0.531414994039642,28,True,0.7261515227787566,0.0,0.0,1.0,0.8253012048192772
Outer 4 - Inner 4,100,6,1,0.9640904677968855,8,True,0.6979612383589227,0.0,0.0,1.0,0.8253012048192772
Outer 4 - Inner 5,138,10,2,0.7512565263854718,24,True,0.7077774981122578,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
