,knn__algorithm,knn__metric,knn__n_neighbors,knn__weights,auc,f1,sensitivity,specificity,accuracy
Outer 0,auto,euclidean,11,uniform,0.541278630757614,0.1212121212121212,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 1,auto,manhattan,11,uniform,0.5495846967027435,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 2,auto,euclidean,17,uniform,0.46941857538384096,0.0,0.0,1.0,0.8253012048192772
Outer 3,auto,euclidean,22,uniform,0.4701736722879436,0.0,0.0,1.0,0.8253012048192772
Outer 4,auto,euclidean,23,uniform,0.5880946388119809,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 5,auto,manhattan,22,uniform,0.6861313868613138,0.0,0.0,1.0,0.8253012048192772
Outer 6,auto,manhattan,24,distance,0.5517241379310345,0.0,0.0,1.0,0.8253012048192772
Outer 7,auto,manhattan,22,uniform,0.5551220739994966,0.0,0.0,1.0,0.8253012048192772
Outer 8,auto,manhattan,24,uniform,0.6559275106972062,0.0,0.0,1.0,0.8253012048192772
Outer 9,auto,manhattan,18,uniform,0.6156556758117292,0.0,0.0,1.0,0.8253012048192772
Outer 10,auto,euclidean,24,uniform,0.566448527561037,0.0,0.0,1.0,0.8253012048192772
