,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 0 - Inner 0,146,3,2,0.5802056081201423,24,True,0.790519877675841,0.372093023255814,0.3333333333333333,0.8990825688073395,0.7969924812030075
Outer 0 - Inner 1,74,8,4,0.9872804688764136,30,True,0.8061926605504588,0.39024390243902435,0.3333333333333333,0.9174311926605505,0.8120300751879699
Outer 0 - Inner 2,199,4,2,0.9096024359615169,30,True,0.8207186544342507,0.5499999999999999,0.4583333333333333,0.9541284403669725,0.8646616541353384
Outer 0 - Inner 3,84,2,4,0.5685905317075044,15,True,0.7660550458715596,0.4615384615384615,0.5,0.8532110091743119,0.7894736842105263
Outer 0 - Inner 4,60,5,1,0.9202582823156936,25,True,0.8008409785932721,0.39024390243902435,0.3333333333333333,0.9174311926605505,0.8120300751879699
Outer 0 - Inner 5,196,4,1,0.971711996846306,23,True,0.8363914373088684,0.5116279069767442,0.4583333333333333,0.926605504587156,0.8421052631578947
Outer 1 - Inner 0,198,6,1,0.9708295260518093,18,True,0.8486238532110092,0.5853658536585366,0.5,0.9541284403669725,0.8721804511278195
Outer 1 - Inner 1,176,3,2,0.777214821217965,23,True,0.7977828746177369,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
Outer 1 - Inner 2,146,2,1,0.8670229867901798,12,True,0.830848623853211,0.5454545454545454,0.5,0.926605504587156,0.849624060150376
Outer 1 - Inner 3,156,3,3,0.7078761235477937,29,True,0.8727064220183487,0.5652173913043478,0.5416666666666666,0.9174311926605505,0.849624060150376
Outer 1 - Inner 4,193,7,3,0.8682275733201303,16,True,0.8188073394495412,0.5652173913043478,0.5416666666666666,0.9174311926605505,0.849624060150376
Outer 1 - Inner 5,150,6,1,0.5019206940733405,16,True,0.8436544342507646,0.5652173913043478,0.5416666666666666,0.9174311926605505,0.849624060150376
Outer 2 - Inner 0,74,8,1,0.6704989571515236,10,True,0.8390672782874617,0.5,0.4166666666666667,0.944954128440367,0.849624060150376
Outer 2 - Inner 1,61,2,1,0.5239301143955053,26,True,0.9178134556574924,0.5581395348837209,0.5,0.9357798165137615,0.8571428571428571
Outer 2 - Inner 2,53,8,4,0.6214572402466166,18,True,0.8719418960244649,0.46511627906976744,0.4166666666666667,0.9174311926605505,0.8270676691729323
Outer 2 - Inner 3,174,5,1,0.8855792819325186,12,True,0.9097859327217126,0.5789473684210527,0.4583333333333333,0.9724770642201835,0.8796992481203008
Outer 2 - Inner 4,182,2,1,0.786201777022087,27,True,0.9023318042813455,0.5405405405405406,0.4166666666666667,0.9724770642201835,0.8721804511278195
Outer 2 - Inner 5,153,3,2,0.9244349626894781,30,True,0.8501529051987767,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 3 - Inner 0,58,2,2,0.8606439850566264,25,True,0.8191896024464832,0.39024390243902435,0.3333333333333333,0.9174311926605505,0.8120300751879699
Outer 3 - Inner 1,108,5,1,0.842752670035853,8,True,0.7622324159021407,0.25641025641025644,0.20833333333333334,0.908256880733945,0.7819548872180451
Outer 3 - Inner 2,83,5,2,0.8804695788001505,11,True,0.7981651376146789,0.4102564102564102,0.3333333333333333,0.9357798165137615,0.8270676691729323
Outer 3 - Inner 3,136,4,1,0.6840417449740814,14,True,0.7964449541284403,0.4444444444444444,0.3333333333333333,0.963302752293578,0.849624060150376
Outer 3 - Inner 4,190,7,2,0.8323478094890081,15,True,0.8398318042813455,0.4736842105263159,0.375,0.9541284403669725,0.849624060150376
Outer 3 - Inner 5,142,5,3,0.9428504648999727,9,True,0.827217125382263,0.5128205128205129,0.4166666666666667,0.9541284403669725,0.8571428571428571
Outer 4 - Inner 0,88,4,1,0.5750249528900278,15,True,0.7715978593272171,0.32558139534883723,0.2916666666666667,0.8899082568807339,0.7819548872180451
Outer 4 - Inner 1,98,3,2,0.7379397452501084,26,True,0.7631880733944955,0.380952380952381,0.3333333333333333,0.908256880733945,0.8045112781954887
Outer 4 - Inner 2,199,4,4,0.6336084774240582,17,True,0.8314220183486238,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 4 - Inner 3,137,10,3,0.7419882208506595,26,True,0.7454128440366973,0.2926829268292683,0.25,0.8990825688073395,0.7819548872180451
Outer 4 - Inner 4,84,3,1,0.9199459453183931,19,True,0.7826834862385321,0.23529411764705882,0.16666666666666666,0.944954128440367,0.8045112781954887
Outer 4 - Inner 5,191,6,2,0.9319909171102891,15,True,0.8230122324159022,0.3684210526315789,0.2916666666666667,0.9357798165137615,0.8195488721804511
Outer 5 - Inner 0,160,4,1,0.9695115374785812,16,True,0.819954128440367,0.5581395348837209,0.5,0.9357798165137615,0.8571428571428571
Outer 5 - Inner 1,120,5,1,0.9542265515155468,13,True,0.8180428134556574,0.4888888888888889,0.4583333333333333,0.908256880733945,0.8270676691729323
Outer 5 - Inner 2,180,3,4,0.8315478424957004,23,True,0.8042813455657492,0.5652173913043478,0.5416666666666666,0.9174311926605505,0.849624060150376
Outer 5 - Inner 3,181,5,3,0.8981626066432018,10,True,0.8054281345565749,0.5,0.4583333333333333,0.9174311926605505,0.8345864661654135
Outer 5 - Inner 4,130,5,2,0.8674320436319973,20,True,0.793960244648318,0.5416666666666666,0.5416666666666666,0.8990825688073395,0.8345864661654135
Outer 5 - Inner 5,179,8,2,0.9224698716166713,12,True,0.805045871559633,0.5652173913043478,0.5416666666666666,0.9174311926605505,0.849624060150376
Outer 6 - Inner 0,75,3,2,0.881787080015717,7,True,0.779434250764526,0.4210526315789474,0.3333333333333333,0.944954128440367,0.8345864661654135
Outer 6 - Inner 1,118,3,2,0.5719435172328398,25,True,0.8061926605504588,0.3333333333333333,0.25,0.944954128440367,0.8195488721804511
Outer 6 - Inner 2,157,4,3,0.6323519869208476,16,True,0.8008409785932722,0.38888888888888895,0.2916666666666667,0.9541284403669725,0.8345864661654135
Outer 6 - Inner 3,104,6,1,0.9096624311120239,13,True,0.8203363914373089,0.38888888888888895,0.2916666666666667,0.9541284403669725,0.8345864661654135
Outer 6 - Inner 4,114,3,2,0.9725390382256184,22,True,0.8000764525993883,0.38888888888888895,0.2916666666666667,0.9541284403669725,0.8345864661654135
Outer 6 - Inner 5,167,3,1,0.9894108690548806,10,True,0.7985474006116208,0.35294117647058826,0.25,0.963302752293578,0.8345864661654135
Outer 7 - Inner 0,96,10,1,0.5697396581806855,21,True,0.8295107033639144,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 7 - Inner 1,184,6,2,0.9836425028593689,22,True,0.8639143730886849,0.38888888888888895,0.2916666666666667,0.9541284403669725,0.8345864661654135
Outer 7 - Inner 2,176,3,1,0.8442136221783937,18,True,0.8363914373088684,0.34285714285714286,0.25,0.9541284403669725,0.8270676691729323
Outer 7 - Inner 3,126,3,3,0.6593869109144315,28,True,0.8837920489296637,0.5499999999999999,0.4583333333333333,0.9541284403669725,0.8646616541353384
Outer 7 - Inner 4,188,3,1,0.8943939676701054,12,True,0.8849388379204892,0.5365853658536585,0.4583333333333333,0.944954128440367,0.8571428571428571
Outer 7 - Inner 5,104,2,2,0.8050697614297607,14,True,0.8746177370030581,0.4444444444444444,0.3333333333333333,0.963302752293578,0.849624060150376
Outer 8 - Inner 0,169,7,3,0.7894210460510198,10,True,0.7698776758409785,0.5106382978723404,0.5,0.8990825688073395,0.8270676691729323
Outer 8 - Inner 1,200,3,3,0.7360810247623156,25,True,0.8306574923547401,0.42857142857142855,0.375,0.9174311926605505,0.8195488721804511
Outer 8 - Inner 2,116,8,1,0.8680742895914336,29,True,0.8054281345565749,0.4736842105263159,0.375,0.9541284403669725,0.849624060150376
Outer 8 - Inner 3,111,2,1,0.9966541773357308,20,True,0.8119266055045871,0.6046511627906976,0.5416666666666666,0.944954128440367,0.8721804511278195
Outer 8 - Inner 4,200,4,2,0.5205586997169481,20,True,0.7882262996941896,0.4761904761904762,0.4166666666666667,0.926605504587156,0.8345864661654135
Outer 8 - Inner 5,144,2,1,0.7088868591743657,13,True,0.7647171253822631,0.4761904761904762,0.4166666666666667,0.926605504587156,0.8345864661654135
Outer 9 - Inner 0,192,6,1,0.9668205909358006,23,True,0.8172782874617737,0.4,0.2916666666666667,0.963302752293578,0.8421052631578947
Outer 9 - Inner 1,66,7,3,0.692371019778778,23,True,0.7817278287461774,0.3783783783783784,0.2916666666666667,0.944954128440367,0.8270676691729323
Outer 9 - Inner 2,128,5,2,0.7229374057112319,16,True,0.77217125382263,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
Outer 9 - Inner 3,102,2,2,0.7283023262472114,16,True,0.7652905198776759,0.3684210526315789,0.2916666666666667,0.9357798165137615,0.8195488721804511
Outer 9 - Inner 4,180,6,2,0.6063873478679986,21,True,0.7874617737003058,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
Outer 9 - Inner 5,82,2,3,0.8129071661458108,9,True,0.838302752293578,0.5263157894736842,0.4166666666666667,0.963302752293578,0.8646616541353384
Outer 10 - Inner 0,147,7,1,0.9691333794200091,29,True,0.8925840978593271,0.5333333333333333,0.5,0.9174311926605505,0.8421052631578947
Outer 10 - Inner 1,158,7,2,0.9931378649423106,21,True,0.8952599388379204,0.6046511627906976,0.5416666666666666,0.944954128440367,0.8721804511278195
Outer 10 - Inner 2,156,6,3,0.6222595608531978,23,True,0.8700305810397554,0.5833333333333334,0.5833333333333334,0.908256880733945,0.849624060150376
Outer 10 - Inner 3,111,9,2,0.6432895643432479,12,True,0.8826452599388379,0.6153846153846153,0.6666666666666666,0.8899082568807339,0.849624060150376
Outer 10 - Inner 4,90,5,2,0.6625176496439634,13,True,0.8254969418960245,0.4897959183673469,0.5,0.8807339449541285,0.8120300751879699
Outer 10 - Inner 5,169,4,3,0.988784575684503,25,True,0.8547400611620796,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 11 - Inner 0,121,2,2,0.7557035390817077,19,True,0.8233944954128439,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
Outer 11 - Inner 1,64,8,4,0.8201172780491258,21,True,0.8432721712538226,0.5454545454545454,0.5,0.926605504587156,0.849624060150376
Outer 11 - Inner 2,174,4,1,0.9248973002395536,9,True,0.8012232415902141,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 11 - Inner 3,103,2,1,0.9199605382833127,18,True,0.8048547400611621,0.34285714285714286,0.25,0.9541284403669725,0.8270676691729323
Outer 11 - Inner 4,115,3,2,0.8492175364738577,28,True,0.7935779816513762,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 11 - Inner 5,126,8,2,0.7980767326827225,10,True,0.816131498470948,0.39024390243902435,0.3333333333333333,0.9174311926605505,0.8120300751879699
Outer 12 - Inner 0,83,2,3,0.7821622827005115,25,True,0.85282874617737,0.6976744186046512,0.625,0.963302752293578,0.9022556390977443
Outer 12 - Inner 1,79,2,1,0.6728650102441014,15,True,0.8419342507645259,0.48780487804878053,0.4166666666666667,0.9357798165137615,0.8421052631578947
Outer 12 - Inner 2,80,2,1,0.7321636153602771,10,True,0.8241590214067278,0.5581395348837209,0.5,0.9357798165137615,0.8571428571428571
Outer 12 - Inner 3,122,4,2,0.8961001305452254,11,True,0.849388379204893,0.5641025641025641,0.4583333333333333,0.963302752293578,0.8721804511278195
Outer 12 - Inner 4,94,3,1,0.9596320075493585,24,True,0.7845948012232415,0.4444444444444444,0.3333333333333333,0.963302752293578,0.849624060150376
Outer 12 - Inner 5,170,7,1,0.7203947078247139,7,True,0.834480122324159,0.5714285714285715,0.5,0.944954128440367,0.8646616541353384
Outer 13 - Inner 0,96,2,2,0.9177984965265669,28,True,0.7964449541284403,0.32432432432432434,0.25,0.9357798165137615,0.8120300751879699
Outer 13 - Inner 1,169,2,4,0.7143895899383729,25,True,0.7947247706422018,0.5116279069767442,0.4583333333333333,0.926605504587156,0.8421052631578947
Outer 13 - Inner 2,158,3,1,0.619494140990353,23,True,0.8404051987767585,0.35294117647058826,0.25,0.963302752293578,0.8345864661654135
Outer 13 - Inner 3,175,4,3,0.9841726900764769,15,True,0.7996941896024464,0.34285714285714286,0.25,0.9541284403669725,0.8270676691729323
Outer 13 - Inner 4,63,3,1,0.581605335171207,7,True,0.7725535168195719,0.28571428571428575,0.20833333333333334,0.944954128440367,0.8120300751879699
Outer 13 - Inner 5,147,9,3,0.8844529538942223,29,True,0.790902140672783,0.4444444444444444,0.3333333333333333,0.963302752293578,0.849624060150376
Outer 14 - Inner 0,94,9,3,0.8116842482488507,20,True,0.8126911314984709,0.5499999999999999,0.4583333333333333,0.9541284403669725,0.8646616541353384
Outer 14 - Inner 1,189,9,4,0.516447418017878,16,True,0.8188073394495412,0.46511627906976744,0.4166666666666667,0.9174311926605505,0.8270676691729323
Outer 14 - Inner 2,176,5,1,0.6204361649794976,16,True,0.8123088685015291,0.5499999999999999,0.4583333333333333,0.9541284403669725,0.8646616541353384
Outer 14 - Inner 3,51,6,4,0.9582164960514163,14,True,0.8123088685015291,0.5957446808510638,0.5833333333333334,0.9174311926605505,0.8571428571428571
Outer 14 - Inner 4,173,3,2,0.8527343596106467,16,True,0.8035168195718655,0.48648648648648646,0.375,0.963302752293578,0.8571428571428571
Outer 14 - Inner 5,152,2,3,0.8270328062510814,20,True,0.8222477064220184,0.4210526315789474,0.3333333333333333,0.944954128440367,0.8345864661654135
Outer 15 - Inner 0,66,10,2,0.7603924084019185,11,True,0.7958715596330276,0.43243243243243246,0.3333333333333333,0.9541284403669725,0.8421052631578947
Outer 15 - Inner 1,61,5,1,0.8694049129178388,23,True,0.8331422018348623,0.4210526315789474,0.3333333333333333,0.944954128440367,0.8345864661654135
Outer 15 - Inner 2,183,5,4,0.9128842579414322,15,True,0.819571865443425,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 15 - Inner 3,171,10,4,0.9805522528852473,18,True,0.7931957186544343,0.4444444444444444,0.3333333333333333,0.963302752293578,0.849624060150376
Outer 15 - Inner 4,136,8,2,0.9122801831225524,21,True,0.8685015290519877,0.4210526315789474,0.3333333333333333,0.944954128440367,0.8345864661654135
Outer 15 - Inner 5,101,3,2,0.7423763133331562,19,True,0.8103975535168196,0.3913043478260869,0.375,0.8807339449541285,0.7894736842105263
Outer 16 - Inner 0,145,3,2,0.585516675258842,14,True,0.8146024464831805,0.42857142857142855,0.375,0.9174311926605505,0.8195488721804511
Outer 16 - Inner 1,50,10,2,0.6202363009246357,18,True,0.8291284403669725,0.46511627906976744,0.4166666666666667,0.9174311926605505,0.8270676691729323
Outer 16 - Inner 2,90,8,2,0.9505532902719706,12,True,0.8107798165137614,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 16 - Inner 3,179,4,2,0.665570196800034,9,True,0.857033639143731,0.5106382978723404,0.5,0.8990825688073395,0.8270676691729323
Outer 16 - Inner 4,60,3,1,0.9765193435352726,14,True,0.8226299694189602,0.3333333333333333,0.25,0.944954128440367,0.8195488721804511
Outer 16 - Inner 5,114,5,1,0.808464527216012,15,True,0.8165137614678899,0.39024390243902435,0.3333333333333333,0.9174311926605505,0.8120300751879699
Outer 17 - Inner 0,166,8,1,0.8635916250825253,25,True,0.7851681957186544,0.29411764705882354,0.20833333333333334,0.9541284403669725,0.8195488721804511
Outer 17 - Inner 1,161,8,3,0.6269914416811826,18,True,0.7847859327217126,0.4571428571428572,0.3333333333333333,0.9724770642201835,0.8571428571428571
Outer 17 - Inner 2,82,7,1,0.8031508988299334,21,True,0.7733180428134557,0.3225806451612903,0.20833333333333334,0.981651376146789,0.8421052631578947
Outer 17 - Inner 3,171,2,2,0.9592780807043779,19,True,0.8061926605504587,0.42424242424242425,0.2916666666666667,0.981651376146789,0.8571428571428571
Outer 17 - Inner 4,170,3,1,0.6519810703559219,13,True,0.8023700305810397,0.27586206896551724,0.16666666666666666,0.9908256880733946,0.8421052631578947
Outer 17 - Inner 5,180,5,1,0.620555595206737,28,True,0.8325688073394495,0.36363636363636365,0.25,0.9724770642201835,0.8421052631578947
Outer 18 - Inner 0,92,9,2,0.5510719218495805,22,True,0.8386850152905199,0.5106382978723404,0.5,0.8990825688073395,0.8270676691729323
Outer 18 - Inner 1,199,7,1,0.9161224607403113,18,True,0.8501529051987768,0.32432432432432434,0.25,0.9357798165137615,0.8120300751879699
Outer 18 - Inner 2,158,5,1,0.6690331967909517,13,True,0.8390672782874617,0.380952380952381,0.3333333333333333,0.908256880733945,0.8045112781954887
Outer 18 - Inner 3,143,9,1,0.99999589350171,14,True,0.8612385321100917,0.5263157894736842,0.4166666666666667,0.963302752293578,0.8646616541353384
Outer 18 - Inner 4,175,4,1,0.8061565153816537,13,True,0.834480122324159,0.4102564102564102,0.3333333333333333,0.9357798165137615,0.8270676691729323
Outer 18 - Inner 5,194,9,2,0.993687721356667,10,True,0.8486238532110091,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 19 - Inner 0,128,5,2,0.7361523951122075,14,True,0.7962538226299695,0.38888888888888895,0.2916666666666667,0.9541284403669725,0.8345864661654135
Outer 19 - Inner 1,92,6,3,0.8568671359675941,24,True,0.7519113149847095,0.32432432432432434,0.25,0.9357798165137615,0.8120300751879699
