,knn__algorithm,knn__metric,knn__n_neighbors,knn__weights,auc,f1,sensitivity,specificity,accuracy
Outer 0,auto,euclidean,3,uniform,0.61213189025925,0.16216216216216217,0.10344827586206896,0.9635036496350365,0.8132530120481928
Outer 1,auto,euclidean,3,uniform,0.6706519003272086,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 2,auto,euclidean,3,uniform,0.5358671029448778,0.06060606060606061,0.034482758620689655,0.9781021897810219,0.8132530120481928
Outer 3,auto,euclidean,3,uniform,0.5684621193053108,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 4,auto,euclidean,3,uniform,0.5222753586710295,0.15384615384615385,0.10344827586206896,0.948905109489051,0.8012048192771084
Outer 5,auto,euclidean,3,uniform,0.6560533601812233,0.14634146341463414,0.10344827586206896,0.9343065693430657,0.7891566265060241
Outer 6,auto,euclidean,3,uniform,0.6381827334507929,0.2631578947368421,0.1724137931034483,0.9708029197080292,0.8313253012048193
Outer 7,auto,euclidean,3,uniform,0.6778253209161843,0.2702702702702703,0.1724137931034483,0.9781021897810219,0.8373493975903614
Outer 8,auto,euclidean,3,uniform,0.6754341807198591,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 9,auto,euclidean,3,uniform,0.7077774981122578,0.2777777777777778,0.1724137931034483,0.9854014598540146,0.8433734939759037
Outer 10,auto,euclidean,3,uniform,0.6342813994462623,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 11,auto,euclidean,3,uniform,0.6162849232318147,0.10526315789473684,0.06896551724137931,0.948905109489051,0.7951807228915663
Outer 12,auto,euclidean,3,uniform,0.6145230304555752,0.24390243902439024,0.1724137931034483,0.948905109489051,0.8132530120481928
Outer 13,auto,euclidean,3,uniform,0.5724893027938586,0.11428571428571428,0.06896551724137931,0.9708029197080292,0.8132530120481928
Outer 14,auto,euclidean,3,uniform,0.609992449030959,0.06060606060606061,0.034482758620689655,0.9781021897810219,0.8132530120481928
Outer 15,auto,euclidean,3,uniform,0.6123835892272842,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 16,auto,euclidean,3,uniform,0.6031965768940348,0.16666666666666666,0.10344827586206896,0.9708029197080292,0.8192771084337349
Outer 17,auto,euclidean,3,uniform,0.7243896300025169,0.46511627906976744,0.3448275862068966,0.9708029197080292,0.8614457831325302
Outer 18,auto,euclidean,3,uniform,0.6385602819028442,0.2,0.13793103448275862,0.948905109489051,0.8072289156626506
Outer 19,auto,euclidean,3,uniform,0.5897306821042034,0.16666666666666666,0.10344827586206896,0.9708029197080292,0.8192771084337349
Outer 20,auto,euclidean,3,uniform,0.5750062924742009,0.2926829268292683,0.20689655172413793,0.9562043795620438,0.8253012048192772
Outer 21,auto,euclidean,3,uniform,0.6588220488295998,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 22,auto,euclidean,3,uniform,0.6873898817014851,0.23529411764705882,0.13793103448275862,0.9927007299270073,0.8433734939759037
Outer 23,auto,euclidean,3,uniform,0.6636043292222501,0.3157894736842105,0.20689655172413793,0.9781021897810219,0.8433734939759037
Outer 24,auto,euclidean,3,uniform,0.6853762899572111,0.41025641025641024,0.27586206896551724,0.9854014598540146,0.8614457831325302
Outer 25,auto,euclidean,3,uniform,0.5868361439718097,0.11764705882352941,0.06896551724137931,0.9781021897810219,0.8192771084337349
Outer 26,auto,euclidean,3,uniform,0.6070979108985654,0.3157894736842105,0.20689655172413793,0.9781021897810219,0.8433734939759037
Outer 27,auto,euclidean,3,uniform,0.5344827586206896,0.14634146341463414,0.10344827586206896,0.9343065693430657,0.7891566265060241
Outer 28,auto,euclidean,3,uniform,0.6289957211175435,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 29,auto,euclidean,3,uniform,0.5914925748804429,0.24390243902439024,0.1724137931034483,0.948905109489051,0.8132530120481928
Outer 30,auto,euclidean,3,uniform,0.6423357664233577,0.25,0.1724137931034483,0.9562043795620438,0.8192771084337349
Outer 31,auto,euclidean,3,uniform,0.6356657437704505,0.2631578947368421,0.1724137931034483,0.9708029197080292,0.8313253012048193
Outer 32,auto,euclidean,3,uniform,0.6578152529574629,0.358974358974359,0.2413793103448276,0.9781021897810219,0.8493975903614458
Outer 33,auto,euclidean,3,uniform,0.7046312610118298,0.391304347826087,0.3103448275862069,0.9416058394160584,0.8313253012048193
Outer 34,auto,euclidean,3,uniform,0.6043292222501889,0.2702702702702703,0.1724137931034483,0.9781021897810219,0.8373493975903614
Outer 35,auto,euclidean,3,uniform,0.6671281147747294,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 36,auto,euclidean,3,uniform,0.600302038761641,0.358974358974359,0.2413793103448276,0.9781021897810219,0.8493975903614458
Outer 37,auto,euclidean,3,uniform,0.604455071734206,0.20512820512820512,0.13793103448275862,0.9562043795620438,0.8132530120481928
Outer 38,auto,euclidean,3,uniform,0.5924993707525801,0.3076923076923077,0.20689655172413793,0.9708029197080292,0.8373493975903614
Outer 39,auto,euclidean,3,uniform,0.551220739994966,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 40,auto,euclidean,3,uniform,0.6793355147243897,0.2631578947368421,0.1724137931034483,0.9708029197080292,0.8313253012048193
Outer 41,auto,euclidean,3,uniform,0.6099924490309591,0.16666666666666666,0.10344827586206896,0.9708029197080292,0.8192771084337349
Outer 42,auto,euclidean,3,uniform,0.6138937830354896,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 43,auto,euclidean,3,uniform,0.6274855273093382,0.2631578947368421,0.1724137931034483,0.9708029197080292,0.8313253012048193
Outer 44,auto,euclidean,3,uniform,0.6165366221998491,0.2926829268292683,0.20689655172413793,0.9562043795620438,0.8253012048192772
Outer 45,auto,euclidean,3,uniform,0.5795368738988171,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 46,auto,euclidean,3,uniform,0.708155046564309,0.2702702702702703,0.1724137931034483,0.9781021897810219,0.8373493975903614
Outer 47,auto,euclidean,3,uniform,0.6369242386106218,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 48,auto,euclidean,3,uniform,0.6517744777246414,0.2,0.13793103448275862,0.948905109489051,0.8072289156626506
Outer 49,auto,euclidean,3,uniform,0.6741756858796879,0.358974358974359,0.2413793103448276,0.9781021897810219,0.8493975903614458
Outer 50,auto,euclidean,3,uniform,0.6059652655424113,0.16666666666666666,0.10344827586206896,0.9708029197080292,0.8192771084337349
Outer 51,auto,euclidean,3,uniform,0.607978857286685,0.3157894736842105,0.20689655172413793,0.9781021897810219,0.8433734939759037
Outer 52,auto,euclidean,3,uniform,0.7011074754593506,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 53,auto,euclidean,3,uniform,0.6428391643594261,0.21052631578947367,0.13793103448275862,0.9635036496350365,0.8192771084337349
Outer 54,auto,euclidean,3,uniform,0.5830606594512961,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 55,auto,euclidean,3,uniform,0.6461112509438712,0.20512820512820512,0.13793103448275862,0.9562043795620438,0.8132530120481928
