,knn__algorithm,knn__metric,knn__n_neighbors,knn__weights,auc,f1,sensitivity,specificity,accuracy
Outer 0,auto,euclidean,11,uniform,0.541278630757614,0.1212121212121212,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 1,auto,manhattan,11,uniform,0.5495846967027435,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 2,auto,euclidean,17,uniform,0.46941857538384096,0.0,0.0,1.0,0.8253012048192772
Outer 3,auto,euclidean,22,uniform,0.4701736722879436,0.0,0.0,1.0,0.8253012048192772
Outer 4,auto,euclidean,23,uniform,0.5880946388119809,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 5,auto,manhattan,22,uniform,0.6861313868613138,0.0,0.0,1.0,0.8253012048192772
Outer 6,auto,manhattan,24,distance,0.5517241379310345,0.0,0.0,1.0,0.8253012048192772
Outer 7,auto,manhattan,22,uniform,0.5551220739994966,0.0,0.0,1.0,0.8253012048192772
Outer 8,auto,manhattan,24,uniform,0.6559275106972062,0.0,0.0,1.0,0.8253012048192772
Outer 9,auto,manhattan,18,uniform,0.6156556758117292,0.0,0.0,1.0,0.8253012048192772
Outer 10,auto,euclidean,24,uniform,0.566448527561037,0.0,0.0,1.0,0.8253012048192772
Outer 11,auto,euclidean,19,uniform,0.6255977850490813,0.0,0.0,1.0,0.8253012048192772
Outer 12,auto,euclidean,6,uniform,0.5962748552730933,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 13,auto,manhattan,14,uniform,0.6399446262270324,0.0,0.0,1.0,0.8253012048192772
Outer 14,auto,euclidean,15,uniform,0.595897306821042,0.0,0.0,1.0,0.8253012048192772
Outer 15,auto,manhattan,17,uniform,0.6550465643090863,0.0,0.0,1.0,0.8253012048192772
Outer 16,auto,manhattan,24,uniform,0.5293229297759878,0.0,0.0,1.0,0.8253012048192772
Outer 17,auto,manhattan,22,uniform,0.5711049584696702,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 18,auto,euclidean,23,uniform,0.5095645607853008,0.0,0.0,1.0,0.8253012048192772
Outer 19,auto,euclidean,21,uniform,0.5247923483513718,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 20,auto,manhattan,23,uniform,0.568587968789328,0.0,0.0,1.0,0.8253012048192772
Outer 21,auto,manhattan,22,uniform,0.5976591995972818,0.0,0.0,1.0,0.8253012048192772
Outer 22,auto,euclidean,14,uniform,0.5745028945381323,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 23,auto,manhattan,12,uniform,0.5723634533098414,0.0,0.0,1.0,0.8253012048192772
Outer 24,auto,manhattan,24,uniform,0.6310093128618173,0.0,0.0,1.0,0.8253012048192772
Outer 25,auto,euclidean,24,uniform,0.5007550969041027,0.0,0.0,1.0,0.8253012048192772
Outer 26,auto,euclidean,21,distance,0.6566826076013088,0.0,0.0,1.0,0.8253012048192772
Outer 27,auto,manhattan,14,uniform,0.5484520513465895,0.0,0.0,1.0,0.8253012048192772
Outer 28,auto,euclidean,23,uniform,0.607727158318651,0.0,0.0,1.0,0.8253012048192772
Outer 29,auto,euclidean,14,uniform,0.4986156556758117,0.0,0.0,1.0,0.8253012048192772
Outer 30,auto,euclidean,22,uniform,0.4517996476214448,0.0,0.0,1.0,0.8253012048192772
Outer 31,auto,manhattan,24,uniform,0.667757362194815,0.0,0.0,1.0,0.8253012048192772
Outer 32,auto,euclidean,17,uniform,0.6136420840674552,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 33,auto,euclidean,9,uniform,0.5661968285930028,0.1176470588235294,0.06896551724137931,0.9781021897810219,0.8192771084337349
Outer 34,auto,euclidean,12,uniform,0.6053360181223257,0.0,0.0,1.0,0.8253012048192772
Outer 35,auto,manhattan,24,uniform,0.557764913163856,0.0,0.0,1.0,0.8253012048192772
Outer 36,auto,euclidean,23,uniform,0.6047067707022401,0.0,0.0,1.0,0.8253012048192772
Outer 37,auto,euclidean,8,uniform,0.5712308079536874,0.0,0.0,1.0,0.8253012048192772
Outer 38,auto,euclidean,4,distance,0.5470677070224013,0.2790697674418604,0.20689655172413793,0.9416058394160584,0.8132530120481928
Outer 39,auto,manhattan,13,uniform,0.5985401459854015,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 40,auto,manhattan,18,uniform,0.6549207148250693,0.0,0.0,1.0,0.8253012048192772
Outer 41,auto,euclidean,13,uniform,0.709287691920463,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 42,auto,manhattan,17,uniform,0.5494588472187264,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 43,auto,euclidean,23,uniform,0.5514724389630004,0.0,0.0,1.0,0.8253012048192772
Outer 44,auto,euclidean,8,distance,0.5896048326201863,0.2702702702702703,0.1724137931034483,0.9781021897810219,0.8373493975903614
Outer 45,auto,euclidean,22,uniform,0.5956456078530078,0.0,0.0,1.0,0.8253012048192772
Outer 46,auto,euclidean,19,distance,0.44865341052101687,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 47,auto,euclidean,23,uniform,0.6573118550213944,0.0,0.0,1.0,0.8253012048192772
Outer 48,auto,manhattan,17,uniform,0.5669519254971055,0.0,0.0,1.0,0.8253012048192772
Outer 49,auto,euclidean,24,uniform,0.5200100679587214,0.0,0.0,1.0,0.8253012048192772
Outer 50,auto,manhattan,24,uniform,0.5112006040775233,0.0,0.0,1.0,0.8253012048192772
Outer 51,auto,euclidean,16,uniform,0.5889755852001006,0.0,0.0,1.0,0.8253012048192772
Outer 52,auto,euclidean,20,uniform,0.5059149257488045,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 53,auto,manhattan,24,uniform,0.5857034986156556,0.0,0.0,1.0,0.8253012048192772
Outer 54,auto,manhattan,24,uniform,0.5376289957211176,0.0,0.0,1.0,0.8253012048192772
Outer 55,auto,euclidean,15,uniform,0.5770198842184747,0.0,0.0,1.0,0.8253012048192772
Outer 56,auto,manhattan,13,uniform,0.5147243896300027,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 57,auto,euclidean,14,uniform,0.5967782532091618,0.0,0.0,1.0,0.8253012048192772
Outer 58,auto,manhattan,24,uniform,0.5661968285930027,0.0,0.0,1.0,0.8253012048192772
Outer 59,auto,euclidean,5,uniform,0.5308331235841933,0.0,0.0,0.9708029197080292,0.8012048192771084
Outer 60,auto,euclidean,22,distance,0.5049081298766676,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 61,auto,euclidean,24,distance,0.6594512962496853,0.0,0.0,1.0,0.8253012048192772
Outer 62,auto,euclidean,17,uniform,0.5607853007802669,0.0,0.0,1.0,0.8253012048192772
Outer 63,auto,euclidean,12,uniform,0.6643594261263529,0.0,0.0,1.0,0.8253012048192772
Outer 64,auto,manhattan,14,uniform,0.5124590989176944,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 65,auto,euclidean,8,distance,0.5252957462874401,0.0588235294117647,0.034482758620689655,0.9708029197080292,0.8072289156626506
Outer 66,auto,euclidean,10,distance,0.5700981625975333,0.0588235294117647,0.034482758620689655,0.9708029197080292,0.8072289156626506
Outer 67,auto,euclidean,24,uniform,0.6813491064686634,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 68,auto,euclidean,15,uniform,0.6190536118801913,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 69,auto,euclidean,12,distance,0.580543669770954,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 70,auto,manhattan,21,uniform,0.6560533601812233,0.0,0.0,1.0,0.8253012048192772
Outer 71,auto,euclidean,8,uniform,0.5461867606342814,0.0,0.0,0.9781021897810219,0.8072289156626506
Outer 72,auto,manhattan,11,uniform,0.5476969544424869,0.0588235294117647,0.034482758620689655,0.9708029197080292,0.8072289156626506
Outer 73,auto,euclidean,14,uniform,0.5974075006292474,0.0,0.0,1.0,0.8253012048192772
Outer 74,auto,euclidean,22,uniform,0.5592751069720614,0.0,0.0,1.0,0.8253012048192772
Outer 75,auto,manhattan,21,uniform,0.5460609111502642,0.0,0.0,1.0,0.8253012048192772
Outer 76,auto,manhattan,14,uniform,0.6380568839667757,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 77,auto,manhattan,24,uniform,0.5534860307072741,0.0,0.0,1.0,0.8253012048192772
Outer 78,auto,euclidean,24,uniform,0.5210168638308583,0.0,0.0,1.0,0.8253012048192772
Outer 79,auto,manhattan,14,uniform,0.5461867606342814,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 80,auto,manhattan,3,distance,0.5346086081047068,0.10256410256410257,0.06896551724137931,0.9416058394160584,0.7891566265060241
Outer 81,auto,euclidean,10,uniform,0.5410269317895797,0.0,0.0,1.0,0.8253012048192772
Outer 82,auto,euclidean,24,uniform,0.5590234080040271,0.0,0.0,1.0,0.8253012048192772
Outer 83,auto,euclidean,19,distance,0.611125094387113,0.0,0.0,1.0,0.8253012048192772
