,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 0,68,4,1,0.9010632575774782,3,True,0.6715328467153284,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 1,68,3,4,0.6708378330645934,3,True,0.7691920463126101,0.0,0.0,1.0,0.8253012048192772
Outer 2,63,2,3,0.741932856787862,1,True,0.7626478731437201,0.0,0.0,1.0,0.8253012048192772
Outer 3,64,5,1,0.8950436753521037,2,True,0.6881449786055877,0.0,0.0,1.0,0.8253012048192772
Outer 4,48,4,3,0.7520328406698493,3,True,0.7583689906871381,0.0,0.0,1.0,0.8253012048192772
Outer 5,68,2,4,0.906029338918457,3,True,0.7571104958469671,0.0,0.0,1.0,0.8253012048192772
Outer 6,32,5,3,0.9360661899703849,8,True,0.6347847973823307,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 7,45,2,1,0.861239161845309,4,True,0.7241379310344829,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 8,50,5,1,0.9839951190233303,3,True,0.7659199597281652,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 9,59,2,4,0.8549462241571388,10,True,0.7991442235086835,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 10,53,4,4,0.701589063156284,10,True,0.7752328215454316,0.0,0.0,0.9854014598540146,0.8132530120481928
Outer 11,69,5,3,0.8808674819466549,4,True,0.7772464132897056,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 12,65,3,2,0.699395746123222,4,True,0.6909136672539642,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 13,62,5,4,0.7685935344401968,8,True,0.7611376793355147,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 14,63,4,2,0.9477207554432867,2,True,0.8520010067958721,0.0,0.0,1.0,0.8253012048192772
Outer 15,69,4,4,0.8909947406948451,8,True,0.7331990938837151,0.2424242424242424,0.13793103448275862,1.0,0.8493975903614458
Outer 16,70,2,4,0.6703374025134285,4,True,0.6929272589982381,0.0,0.0,1.0,0.8253012048192772
Outer 17,70,3,3,0.8986735011190075,2,True,0.8210420337276617,0.0,0.0,1.0,0.8253012048192772
Outer 18,65,3,2,0.9229942553749446,7,True,0.6675056632267807,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 19,60,4,2,0.8430889402551542,5,True,0.7757362194815001,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 20,45,5,4,0.8013236320519416,7,True,0.7465391391895293,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 21,61,3,3,0.8723496001175102,5,True,0.6956959476466147,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 22,51,3,4,0.5348440090958265,3,True,0.7498112257739743,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 23,69,5,1,0.8246384057500813,5,True,0.7853007802668008,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 24,67,4,1,0.834958591310609,4,True,0.7868109740750062,0.0,0.0,1.0,0.8253012048192772
Outer 25,75,2,3,0.7462104876611868,3,True,0.6941857538384093,0.0,0.0,1.0,0.8253012048192772
Outer 26,68,4,3,0.9121005494601929,3,True,0.775484520513466,0.0,0.0,1.0,0.8253012048192772
Outer 27,56,2,4,0.710224747980546,9,True,0.6755600302038762,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 28,73,4,3,0.9275121990920348,6,True,0.6856279889252455,0.0606060606060606,0.034482758620689655,0.9781021897810219,0.8132530120481928
Outer 29,57,3,4,0.9989264666014758,3,True,0.7676818525044048,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 30,51,2,3,0.6817190592463684,3,True,0.7183488547696955,0.0,0.0,1.0,0.8253012048192772
Outer 31,39,4,2,0.9391269387758967,6,True,0.7470425371255979,0.1212121212121212,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 32,53,3,3,0.9955171586360181,2,True,0.8620689655172414,0.0,0.0,1.0,0.8253012048192772
Outer 33,74,4,3,0.9518379635721663,3,True,0.793103448275862,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 34,66,5,3,0.9896500642370998,2,True,0.7055122073999497,0.0,0.0,1.0,0.8253012048192772
Outer 35,63,2,4,0.8268308747456456,6,True,0.7203624465139693,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 36,56,3,3,0.7992773764513419,7,True,0.7324439969796124,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 37,74,5,4,0.6613121888873499,8,True,0.7284168134910647,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 38,75,5,4,0.9238467677355391,10,True,0.7412534608608105,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 39,54,4,1,0.5527559967013389,5,True,0.7382330732443997,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 40,69,5,3,0.6025390860291355,6,True,0.7533350113264536,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 41,58,2,4,0.9305047335068835,2,True,0.810470677070224,0.0,0.0,1.0,0.8253012048192772
Outer 42,58,3,2,0.8766501159669466,7,True,0.668764158066952,0.0,0.0,1.0,0.8253012048192772
Outer 43,72,3,3,0.5791998089630644,4,True,0.7792600050339793,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 44,58,5,3,0.9655430273505654,5,True,0.8671029448779259,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 45,71,4,4,0.6582728229555452,4,True,0.7180971558016612,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 46,60,4,3,0.8665894765033967,3,True,0.7525799144223508,0.0,0.0,1.0,0.8253012048192772
Outer 47,67,5,4,0.9500681552640442,9,True,0.7971306317644098,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 48,73,5,1,0.7883061407811941,3,True,0.7269066196828593,0.0,0.0,1.0,0.8253012048192772
Outer 49,69,5,1,0.918320714861195,3,True,0.762396174175686,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 50,62,4,2,0.881409262832165,3,True,0.8066951925497106,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 51,58,2,1,0.8948174917808424,4,True,0.7535867102944878,0.0,0.0,1.0,0.8253012048192772
Outer 52,34,4,3,0.9709042776839418,5,True,0.5426629750818022,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 53,55,5,2,0.7207622398425818,4,True,0.7082808960483261,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 54,74,4,4,0.7403177946295043,7,True,0.7709539390888498,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 55,64,2,2,0.5697559143394548,8,True,0.717845456833627,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 56,70,4,2,0.6378580731225238,9,True,0.7060156053360181,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 57,51,2,1,0.7861032150509634,6,True,0.8119808708784294,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 58,50,5,4,0.9867473101487507,8,True,0.7379813742763655,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 59,75,2,4,0.9715263398777638,10,True,0.7714573370249183,0.29411764705882354,0.1724137931034483,1.0,0.8554216867469879
Outer 60,69,3,3,0.8356964447885175,7,True,0.7055122073999496,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 61,61,5,4,0.9688567569456497,5,True,0.774477724641329,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 62,37,4,3,0.8517190708338979,7,True,0.6959476466146489,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 63,74,2,3,0.8599350352069604,2,True,0.7372262773722628,0.0,0.0,1.0,0.8253012048192772
Outer 64,65,4,1,0.6551456717183011,4,True,0.7822803926503902,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 65,62,3,3,0.9175439184623,9,True,0.7246413289705513,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 66,68,5,2,0.8887039899810951,9,True,0.7830354895544929,0.0,0.0,1.0,0.8253012048192772
Outer 67,68,2,3,0.968639478520003,3,True,0.7827837905864586,0.0,0.0,1.0,0.8253012048192772
Outer 68,70,5,3,0.924943123953665,10,True,0.6564309086332746,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 69,59,5,4,0.8281118973060873,9,True,0.7654165617920967,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 70,48,5,2,0.9052563842356731,3,True,0.7347092876919205,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 71,70,5,1,0.6986909185254178,3,True,0.7316889000755097,0.0,0.0,1.0,0.8253012048192772
Outer 72,39,4,2,0.8874657725453664,7,True,0.7767430153536371,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 73,56,4,4,0.8309386659525337,6,True,0.8061917946136422,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 74,60,4,4,0.6972397926977133,4,True,0.6664988673546438,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 75,69,5,1,0.8398845718206451,3,True,0.7301787062673043,0.0,0.0,1.0,0.8253012048192772
Outer 76,65,4,2,0.9954805729611282,2,True,0.8429398439466398,0.0,0.0,1.0,0.8253012048192772
Outer 77,62,2,3,0.7157706981820605,10,True,0.6911653662219985,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 78,60,3,4,0.8851680403796919,8,True,0.59904354392147,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 79,62,2,4,0.9543235887409435,10,True,0.7198590485779008,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 80,67,5,3,0.9777509438648334,4,True,0.7085325950163605,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 81,53,5,1,0.9217140516276181,5,True,0.6775736219481501,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 82,72,3,4,0.8870026495985395,4,True,0.670022652907123,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 83,73,4,3,0.899715103408118,4,True,0.7450289453813239,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 84,71,2,4,0.7007304795405485,6,True,0.7699471432167129,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 85,47,2,3,0.6519940245272764,9,True,0.6924238610621697,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 86,61,4,1,0.769304180020713,5,True,0.7553486030707274,0.0,0.0,1.0,0.8253012048192772
Outer 87,74,4,2,0.8139079470297086,4,True,0.772212433929021,0.0,0.0,1.0,0.8253012048192772
Outer 88,54,2,3,0.9983431466447763,8,True,0.735212685627989,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 89,69,2,4,0.7935807165607836,6,True,0.7588723886232066,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 90,72,5,4,0.5927010065487224,8,True,0.6972061414548201,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 91,46,3,3,0.9111959130407717,4,True,0.6667505663226782,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 92,75,3,1,0.7128653683383066,5,True,0.7520765164862824,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 93,73,4,3,0.852690734259139,2,True,0.6093632016108734,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 94,71,4,4,0.9537977379359268,10,True,0.7447772464132897,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 95,59,2,2,0.5037434303775421,7,True,0.8132393657186006,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 96,57,3,4,0.7976250687323028,3,True,0.8036748049332997,0.0,0.0,1.0,0.8253012048192772
Outer 97,57,4,4,0.9024644321352877,6,True,0.7616410772715831,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 98,46,2,4,0.9931514069751699,8,True,0.7553486030707274,0.2424242424242424,0.13793103448275862,1.0,0.8493975903614458
