,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 0 - Inner 0,41,2,4,0.8047393656834869,20,True,0.8058103975535169,0.5333333333333333,0.5,0.9174311926605505,0.8421052631578947
Outer 0 - Inner 1,30,7,1,0.9532692004111113,23,True,0.7798165137614679,0.3913043478260869,0.375,0.8807339449541285,0.7894736842105263
Outer 0 - Inner 2,62,7,4,0.8026200657485902,14,True,0.7392966360856268,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 0 - Inner 3,60,2,2,0.6119543841028723,10,True,0.7801987767584098,0.5581395348837209,0.5,0.9357798165137615,0.8571428571428571
Outer 0 - Inner 4,55,7,2,0.709318569558923,26,True,0.7924311926605505,0.425531914893617,0.4166666666666667,0.8807339449541285,0.7969924812030075
Outer 0 - Inner 5,72,7,2,0.6324659259333092,20,True,0.8532110091743119,0.5777777777777778,0.5416666666666666,0.926605504587156,0.8571428571428571
Outer 1 - Inner 0,61,8,3,0.8212790293199628,25,True,0.8463302752293578,0.5416666666666666,0.5416666666666666,0.8990825688073395,0.8345864661654135
Outer 1 - Inner 1,55,6,2,0.9887986871213184,28,True,0.8050458715596331,0.4186046511627907,0.375,0.908256880733945,0.8120300751879699
Outer 1 - Inner 2,75,4,2,0.6316433382727602,19,True,0.8650611620795107,0.5714285714285714,0.5833333333333334,0.8990825688073395,0.8421052631578947
Outer 1 - Inner 3,31,6,2,0.8396081932763568,25,True,0.8958333333333333,0.6666666666666666,0.6666666666666666,0.926605504587156,0.8796992481203008
Outer 1 - Inner 4,32,9,2,0.950128216486717,26,True,0.7710244648318042,0.5217391304347826,0.5,0.908256880733945,0.8345864661654135
Outer 1 - Inner 5,24,6,1,0.6553535376474514,24,True,0.8230122324159022,0.48000000000000004,0.5,0.8715596330275229,0.8045112781954887
Outer 2 - Inner 0,37,7,1,0.7427289391726575,19,True,0.8860856269113151,0.5454545454545454,0.5,0.926605504587156,0.849624060150376
Outer 2 - Inner 1,74,9,1,0.8168525465773203,22,True,0.9090214067278288,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
Outer 2 - Inner 2,60,7,3,0.6732001325663763,12,True,0.8891437308868501,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 2 - Inner 3,68,6,1,0.8023404818030995,18,True,0.8769113149847094,0.5853658536585366,0.5,0.9541284403669725,0.8721804511278195
Outer 2 - Inner 4,67,5,1,0.7070813325077602,22,True,0.8553134556574924,0.5499999999999999,0.4583333333333333,0.9541284403669725,0.8646616541353384
Outer 2 - Inner 5,56,3,1,0.9929441889324859,11,True,0.8555045871559632,0.35897435897435903,0.2916666666666667,0.926605504587156,0.8120300751879699
Outer 3 - Inner 0,67,4,3,0.8635928901141077,21,True,0.8199541284403671,0.43478260869565216,0.4166666666666667,0.8899082568807339,0.8045112781954887
Outer 3 - Inner 1,43,2,2,0.8530946249980487,22,True,0.7257262996941896,0.38888888888888895,0.2916666666666667,0.9541284403669725,0.8345864661654135
Outer 3 - Inner 2,45,3,1,0.5121119199130888,15,True,0.7886085626911316,0.4081632653061225,0.4166666666666667,0.8623853211009175,0.7819548872180451
Outer 3 - Inner 3,30,8,4,0.8945383299567607,30,True,0.7442660550458716,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 3 - Inner 4,71,4,1,0.9341557781944034,28,True,0.7958715596330276,0.43243243243243246,0.3333333333333333,0.9541284403669725,0.8421052631578947
Outer 3 - Inner 5,21,3,1,0.6841356056890902,25,True,0.7775229357798165,0.3636363636363636,0.3333333333333333,0.8899082568807339,0.7894736842105263
Outer 4 - Inner 0,74,7,2,0.6055620930332284,25,True,0.7419724770642201,0.2,0.16666666666666666,0.8899082568807339,0.7593984962406015
Outer 4 - Inner 1,33,10,1,0.5610090572645502,13,True,0.7029816513761468,0.2105263157894737,0.16666666666666666,0.908256880733945,0.7744360902255639
Outer 4 - Inner 2,35,7,2,0.8979133905971187,7,True,0.7744648318042814,0.4736842105263159,0.375,0.9541284403669725,0.849624060150376
Outer 4 - Inner 3,29,6,4,0.9919266655603307,25,True,0.6873088685015291,0.2105263157894737,0.16666666666666666,0.908256880733945,0.7744360902255639
Outer 4 - Inner 4,58,4,2,0.8283226414033882,20,True,0.7320336391437309,0.2105263157894737,0.16666666666666666,0.908256880733945,0.7744360902255639
Outer 4 - Inner 5,36,2,2,0.9285719931666319,23,True,0.7687308868501529,0.4102564102564102,0.3333333333333333,0.9357798165137615,0.8270676691729323
Outer 5 - Inner 0,45,10,2,0.8362764411044216,22,True,0.8138379204892965,0.5531914893617021,0.5416666666666666,0.908256880733945,0.8421052631578947
Outer 5 - Inner 1,55,4,1,0.860971274730786,25,True,0.8117354740061162,0.5217391304347826,0.5,0.908256880733945,0.8345864661654135
Outer 5 - Inner 2,31,2,2,0.9934186446711187,12,True,0.8115443425076452,0.5306122448979592,0.5416666666666666,0.8899082568807339,0.8270676691729323
Outer 5 - Inner 3,49,8,4,0.5553195688311068,29,True,0.7901376146788991,0.4583333333333333,0.4583333333333333,0.8807339449541285,0.8045112781954887
Outer 5 - Inner 4,66,8,3,0.7876518897408789,13,True,0.7790519877675841,0.5714285714285714,0.5833333333333334,0.8990825688073395,0.8421052631578947
Outer 5 - Inner 5,62,4,1,0.8464621447465859,29,True,0.7861238532110091,0.5238095238095238,0.4583333333333333,0.9357798165137615,0.849624060150376
Outer 6 - Inner 0,49,2,3,0.9572813414550607,18,True,0.7782874617737003,0.34285714285714286,0.25,0.9541284403669725,0.8270676691729323
Outer 6 - Inner 1,24,4,1,0.8906933254680529,17,True,0.7570718654434251,0.3684210526315789,0.2916666666666667,0.9357798165137615,0.8195488721804511
Outer 6 - Inner 2,59,5,3,0.5813939614544705,8,True,0.7828746177370031,0.5641025641025641,0.4583333333333333,0.963302752293578,0.8721804511278195
Outer 6 - Inner 3,73,5,2,0.5738526274639816,14,True,0.8142201834862385,0.5128205128205129,0.4166666666666667,0.9541284403669725,0.8571428571428571
Outer 6 - Inner 4,75,2,2,0.811980315830623,20,True,0.7918577981651375,0.4102564102564102,0.3333333333333333,0.9357798165137615,0.8270676691729323
Outer 6 - Inner 5,51,4,1,0.9272727273417312,29,True,0.7480886850152906,0.34285714285714286,0.25,0.9541284403669725,0.8270676691729323
Outer 7 - Inner 0,54,3,1,0.6785287312562607,14,True,0.8046636085626911,0.3783783783783784,0.2916666666666667,0.944954128440367,0.8270676691729323
Outer 7 - Inner 1,42,9,1,0.8742983126085837,9,True,0.8470948012232417,0.4736842105263159,0.375,0.9541284403669725,0.849624060150376
Outer 7 - Inner 2,63,8,2,0.7324413820164274,18,True,0.779434250764526,0.35897435897435903,0.2916666666666667,0.926605504587156,0.8120300751879699
Outer 7 - Inner 3,50,8,1,0.8887825720735637,17,True,0.8509174311926606,0.48648648648648646,0.375,0.963302752293578,0.8571428571428571
Outer 7 - Inner 4,71,7,2,0.637842995392069,29,True,0.8830275229357798,0.38888888888888895,0.2916666666666667,0.9541284403669725,0.8345864661654135
Outer 7 - Inner 5,54,9,2,0.9636609405307537,20,True,0.8440366972477065,0.43243243243243246,0.3333333333333333,0.9541284403669725,0.8421052631578947
Outer 8 - Inner 0,42,8,1,0.5470676563391814,29,True,0.7457951070336392,0.425531914893617,0.4166666666666667,0.8807339449541285,0.7969924812030075
