,svc__C,svc__class_weight,svc__gamma,svc__shrinking,svc__tol,auc,f1,sensitivity,specificity,accuracy,pr_auc
Outer 0,63.90341375618905,balanced,0.002187645808135297,True,0.0006243030874856213,0.7550969041026931,0.4406779661016949,0.4482758620689655,0.8759124087591241,0.8012048192771084,0.4735418510623343
Outer 1,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.7314372011074755,0.509090909090909,0.4827586206896552,0.9124087591240876,0.8373493975903614,0.5390873306679821
Outer 2,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.8079536873898816,0.5084745762711864,0.5172413793103449,0.8905109489051095,0.8253012048192772,0.51006640187145
Outer 3,1.4100780039034742,balanced,0.00210658006259224,False,0.0007300027122182451,0.7138182733450793,0.36363636363636365,0.3448275862068966,0.8832116788321168,0.7891566265060241,0.4084665059542512
Outer 4,85.8951289466364,balanced,0.006188886485969518,False,0.00017205113335976154,0.7963755348603071,0.5333333333333333,0.5517241379310345,0.8905109489051095,0.8313253012048193,0.4608168514331063
Outer 5,76.31915397388343,balanced,0.0030732732560141245,False,0.0005665442914751066,0.7661716586961994,0.4406779661016949,0.4482758620689655,0.8759124087591241,0.8012048192771084,0.5271475622460551
Outer 6,5.887824759650639,balanced,0.0010059168891638822,False,0.0010997330141673059,0.7696954442486785,0.52,0.4482758620689655,0.9416058394160584,0.8554216867469879,0.48405260160704455
Outer 7,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.7261515227787566,0.5833333333333334,0.4827586206896552,0.9635036496350365,0.8795180722891566,0.5376140909127431
Outer 8,76.31915397388343,balanced,0.0030732732560141245,False,0.0005665442914751066,0.7404983639567078,0.40816326530612246,0.3448275862068966,0.927007299270073,0.8253012048192772,0.42020042060239227
Outer 9,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.8014095142209917,0.5454545454545454,0.6206896551724138,0.8613138686131386,0.8192771084337349,0.5723126017519866
Outer 10,20.62182199167119,balanced,0.011266905533531579,True,0.0009726271831441871,0.8917694437452807,0.5416666666666666,0.4482758620689655,0.9562043795620438,0.8674698795180723,0.7186534019845526
Outer 11,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.833375283161339,0.53125,0.5862068965517241,0.8686131386861314,0.8192771084337349,0.4791144746477507
Outer 12,78.31626328903303,balanced,0.0015994510910836627,False,0.0010026637044263727,0.7717090359929525,0.52,0.4482758620689655,0.9416058394160584,0.8554216867469879,0.5671504792087074
Outer 13,28.59137079772333,balanced,0.00634985596120244,False,0.0002880299285825862,0.8132393657186006,0.509090909090909,0.4827586206896552,0.9124087591240876,0.8373493975903614,0.5525958300032529
Outer 14,63.11071708652515,balanced,0.01849016887923722,False,0.00021696685105567062,0.8220488295997986,0.625,0.5172413793103449,0.9708029197080292,0.891566265060241,0.577005119653396
Outer 15,37.23290123673132,balanced,0.004589221253288091,True,0.0008969513574435644,0.7815252957462875,0.509090909090909,0.4827586206896552,0.9124087591240876,0.8373493975903614,0.6156001798835385
Outer 16,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.6843694940850743,0.35714285714285715,0.3448275862068966,0.8759124087591241,0.7831325301204819,0.4064717570010761
Outer 17,24.50033949684822,balanced,0.002138043778203092,True,0.0008782136015438967,0.8474704253712559,0.576271186440678,0.5862068965517241,0.9051094890510949,0.8493975903614458,0.7118428406368266
Outer 18,20.62182199167119,balanced,0.011266905533531579,True,0.0009726271831441871,0.721117543418072,0.44,0.3793103448275862,0.927007299270073,0.8313253012048193,0.5147310912129004
Outer 19,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.7540901082305562,0.4444444444444444,0.41379310344827586,0.9051094890510949,0.8192771084337349,0.4578871560992282
Outer 20,46.447868682623344,balanced,0.01973961284611174,False,0.00015953265441246691,0.8560281902844198,0.43478260869565216,0.3448275862068966,0.948905109489051,0.8433734939759037,0.6125140971838748
Outer 21,78.31626328903303,balanced,0.0015994510910836627,False,0.0010026637044263727,0.7988925245406494,0.5846153846153846,0.6551724137931034,0.8759124087591241,0.8373493975903614,0.535154871605042
Outer 22,64.27970340713952,balanced,0.005406354208868513,False,0.00030690479837042775,0.7681852504404733,0.5517241379310345,0.5517241379310345,0.9051094890510949,0.8433734939759037,0.5410598479903509
Outer 23,34.3586013326402,balanced,0.00312387202935028,True,0.0009078354592960696,0.7654165617920967,0.43137254901960786,0.3793103448275862,0.9197080291970803,0.8253012048192772,0.5128870161895014
Outer 24,64.27970340713952,balanced,0.005406354208868513,False,0.00030690479837042775,0.8031714069972313,0.5555555555555556,0.5172413793103449,0.927007299270073,0.8554216867469879,0.6143020842153675
Outer 25,0.5436608476518341,balanced,0.07899454978818819,True,0.0002600334614453278,0.7004782280392651,0.32142857142857145,0.3103448275862069,0.8686131386861314,0.7710843373493976,0.37363321906208363
Outer 26,5.887824759650639,balanced,0.0010059168891638822,False,0.0010997330141673059,0.8094638811980871,0.509090909090909,0.4827586206896552,0.9124087591240876,0.8373493975903614,0.5679923519540937
Outer 27,24.50033949684822,balanced,0.002138043778203092,True,0.0008782136015438967,0.7281651145230306,0.5172413793103449,0.5172413793103449,0.8978102189781022,0.8313253012048193,0.4903806099652531
Outer 28,5.887824759650639,balanced,0.0010059168891638822,False,0.0010997330141673059,0.7586206896551724,0.37735849056603776,0.3448275862068966,0.8978102189781022,0.8012048192771084,0.4729644110865733
Outer 29,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.8270828089604833,0.5,0.41379310344827586,0.948905109489051,0.8554216867469879,0.5493187499288188
Outer 30,63.90341375618905,balanced,0.002187645808135297,True,0.0006243030874856213,0.7002265290712308,0.4489795918367347,0.3793103448275862,0.9343065693430657,0.8373493975903614,0.41526732913581554
Outer 31,63.90341375618905,balanced,0.002187645808135297,True,0.0006243030874856213,0.7878177699471433,0.5517241379310345,0.5517241379310345,0.9051094890510949,0.8433734939759037,0.663772584895923
Outer 32,76.31915397388343,balanced,0.0030732732560141245,False,0.0005665442914751066,0.8391643594261263,0.631578947368421,0.6206896551724138,0.927007299270073,0.8734939759036144,0.7159953232408837
Outer 33,76.31915397388343,balanced,0.0030732732560141245,False,0.0005665442914751066,0.7807701988421848,0.5151515151515151,0.5862068965517241,0.8540145985401459,0.8072289156626506,0.5681234575076025
Outer 34,5.887824759650639,balanced,0.0010059168891638822,False,0.0010997330141673059,0.6979612383589228,0.5517241379310345,0.5517241379310345,0.9051094890510949,0.8433734939759037,0.5593939705527573
