,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 0,113,9,4,0.8856944312782913,3,True,0.6838660961490058,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 1,82,6,2,0.9951304752876684,5,True,0.7727158318650893,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 2,193,2,4,0.9576200742756369,17,True,0.7314372011074755,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 3,84,6,3,0.8802906563588141,2,True,0.7082808960483262,0.0,0.0,1.0,0.8253012048192772
Outer 4,200,7,1,0.8082259947472912,4,True,0.7175937578655927,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 5,101,8,3,0.727369719767203,3,True,0.777749811225774,0.0,0.0,1.0,0.8253012048192772
Outer 6,167,10,3,0.7809840938170571,7,True,0.7349609866599547,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 7,185,6,1,0.9595771156788766,8,True,0.7440221495091871,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 8,84,2,3,0.908339724135974,3,True,0.766926755600302,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 9,188,3,4,0.8069645305504767,9,True,0.8220488295997986,0.1875,0.10344827586206896,1.0,0.8433734939759037
